x,y,CD
-47.13216,-113.6007,231.2
-21.98217,-113.5457,228.4
3.167822,-113.4907,228.7
28.31782,-113.4356,224.7
53.46785,-113.3806,230.4
-97.50289,-81.41088,226.2
-72.35289,-81.35582,225.8
-47.20289,-81.30079,219.1
-22.05289,-81.24576,225.7
3.097125,-81.1907,225.8
28.24715,-81.13564,219.4
53.39717,-81.0806,226.3
78.5472,-81.02553,222.1
103.6972,-80.97047,224.2
-122.7236,-49.16593,225.4
-97.57363,-49.11088,227.5
-72.42358,-49.05584,220.1
-47.27359,-49.00079,215.8
-22.12358,-48.94576,218.7
3.026428,-48.89068,229.4
28.17645,-48.83566,227.9
53.32642,-48.78057,226.3
78.47647,-48.72553,221
103.6265,-48.67044,231.6
-122.7943,-16.86591,225
-97.64426,-16.81087,224.9
-72.49426,-16.75583,222.2
-47.34426,-16.70084,219.5
-22.19423,-16.64576,224.2
2.955752,-16.59073,237.2
28.10578,-16.53567,224.1
53.25578,-16.4806,220.5
78.40578,-16.42554,221.9
103.5558,-16.37046,226.6
128.7058,-16.31536,228.7
-122.865,15.4341,221.7
-97.71496,15.48911,220.2
-72.56494,15.54413,223.6
-47.41496,15.59916,224.6
-22.26493,15.65422,231
2.885103,15.70927,228.1
28.03511,15.76432,225.2
53.18509,15.8194,212.4
78.33511,15.87446,222.8
103.4851,15.92954,224.8
128.6351,15.98462,228.6
-122.9357,47.73404,229.2
-97.78564,47.78909,218.5
-72.63563,47.84413,227.4
-47.4856,47.89914,222.9
-22.33563,47.9542,226.6
2.814388,48.00921,224.7
27.96441,48.0643,219.6
53.11443,48.11936,224.3
78.26444,48.17442,222.9
103.4144,48.22948,223
-97.85635,80.0891,227.6
-72.70629,80.14409,224.2
-47.5563,80.19913,226.9
-22.40629,80.25415,219.2
2.743725,80.30922,217.9
27.89372,80.3643,227.6
53.04374,80.41934,224.8
78.19375,80.47438,223.7
103.3437,80.5294,226.5
-47.62699,112.4991,226.5
-22.47698,112.5542,223.1
2.673048,112.6092,219.4
27.82303,112.6642,221.9
52.97306,112.7193,218.2
