x,y,CD
-47.12586,-113.6432,210.7
-21.97588,-113.5862,207.9
3.174135,-113.5291,213
28.32412,-113.472,208.5
53.47416,-113.415,201.1
-97.49921,-81.45745,207.4
-72.34921,-81.40037,205.4
-47.19918,-81.34329,209.5
-22.0492,-81.28623,204.2
3.100826,-81.22913,206.6
28.25084,-81.17205,209.7
53.40086,-81.11497,206.5
78.55088,-81.05788,202.8
103.7009,-81.00079,201.7
-122.7225,-49.21452,202.6
-97.57252,-49.15741,207.5
-72.42249,-49.10034,209.5
-47.27249,-49.04327,199.9
-22.12248,-48.98621,206.2
3.027533,-48.92909,203.2
28.17754,-48.87204,201
53.32751,-48.81492,203.4
78.47756,-48.75787,211.2
103.6276,-48.70076,205.4
-122.7958,-16.91448,207.6
-97.64574,-16.8574,209.2
-72.49577,-16.80033,206.2
-47.34576,-16.7433,205.5
-22.19573,-16.68618,210.9
2.954264,-16.62913,215.2
28.10427,-16.57205,210.1
53.25428,-16.51496,200.7
78.40429,-16.45788,204.1
103.5543,-16.40078,208
128.7043,-16.34366,204
-122.869,15.38554,210.3
-97.71903,15.44259,210.9
-72.56901,15.49966,203.7
-47.41904,15.55672,209.2
-22.26902,15.6138,210.8
2.881018,15.67087,216.6
28.03103,15.72794,214.8
53.18101,15.78504,207.9
78.33102,15.84213,205.3
103.481,15.89922,210.4
128.631,15.9563,206.1
-122.9424,47.68547,212.8
-97.79234,47.74257,202.3
-72.64233,47.79964,208.7
-47.49231,47.85668,206.3
-22.34233,47.91378,206.6
2.807684,47.97083,208.3
27.95771,48.02794,204.8
53.10772,48.08501,203.9
78.25773,48.14211,211.1
103.4077,48.19918,217.4
-97.8656,80.04258,204.7
-72.71557,80.09961,204.9
-47.56559,80.15672,206
-22.41558,80.21376,206.1
2.734433,80.27084,206
27.88443,80.32795,203.2
53.03444,80.38503,210.4
78.18444,80.4421,209.2
103.3344,80.49911,207.6
-47.63891,112.4567,212.2
-22.4889,112.5138,210.3
2.661116,112.5708,208.2
27.81109,112.6279,208
52.96112,112.685,208
